b'Item Class',b'Made In The USA',b'Model Header',b'Bullet Weight',b'Item Status',b'Master Model Body Copy',b'Bullet Style',b'Retail Price',b'Caliber-Gauge',b'ProductPageNumber',b'Wildcat Eligible',b'Catalog Vendor Name',b'Item Code',b'Caliber',b'Item Description',b'Item Group',b'InventoryTyp',b'Quantity per Box',Name,b'Primary Vendor',b'Vendor Group',b'Consumer Description',b'Quantity Case',b'Master Model Header'
b'03017',b'Made In The USA',b'8mm Mauser (8x57)',b'170 gr.',b'OPEN',b'Power Point assures quick and massive knock-down. Strategic notching provides consistent and reliable expansion. Contoured jacket maximum expansion performance. Alloyed lead core increases retained weight for deeper penetration.',b'Power-Point',b'46.44',b'8X57 MAUSER',b'',b'Y',b'WINCHESTER',b'X8MM',b'8x57 Mauser',b'WIN SUPX 8MAU 170 PP 20',b'03',b'REG',b'20',X8MM,b'307AM',b'WIN',b'Super-X 8mm Mauser (8x57) 170 Grain Power-Point',b'10',b'Super-X Power-Point'
